id_record,value
29844909,2.7
29845214,4.1
29846141,
29846760,0.85
29846519,3.61
29847268,
29847582,2.77
29847836,1.07
29848617,
29849091,0.81
29849145,2.15
29849802,
29850108,2.64
29850224,
29851038,
29851421,
29852012,1.44
29852434,
29852245,
29853140,0.13
29853646,
29854341,
29853925,
29854645,
29854853,
29855086,
29855982,
29856387,
29856991,
29857255,
29857325,
29857625,
29858605,
29858420,
29859524,
29859722,
29861174,
29865558,
29868660,
29870018,
29871928,
29871931,
29871944,
29871947,
29871948,
29872106,
29872500,
29874252,
29875131,
29873954,
29875332,
29875589,
29876833,
29877609,
29878267,
29878465,
29879236,
29879238,
29879239,
29879773,0.43
29880862,
29880865,0.76
29880631,
29880648,
29881160,1.26
29882215,1.35
29881987,
29882445,2.33
29883169,
29883359,3
29884845,2.03
29884451,
29885620,
29886650,
29888294,
29888539,4.79
29885936,0.28
29886887,3.04
29886890,2.3
29886891,0.75
29886892,2.94
29887098,2.01
29889237,
29889638,0.82
29889641,0.04
29889702,0.94
29891062,1.83
29890679,
29890934,1.4
29891905,
29892084,0.06
29892865,0.11
29893392,
29893132,
29894144,
29894458,
29895705,
29894710,
29895518,
29896470,
29894356,
29896991,
29897239,
29896783,
29897983,
29898268,
29899015,
29899225,
29899458,
29900197,
29900625,
29902943,
29907756,
29908963,
29912304,
29911881,
29913797,
29914104,
29915024,
29916239,
29916240,
29916241,
29916242,
29916243,
29915248,
29916630,
29916871,
29918046,
29918425,
29921453,0.61
29921607,
29920728,0.35
29919224,
29919421,0.02
29920498,
29920159,
29920163,
29920164,
29921829,2.81
29922596,2.01
29922848,
29923126,4.82
29924105,2.91
29924110,1.82
29924055,11,866
29924512,4.75
29925609,0.14
29925520,22,033
29925891,2.58
29927014,3.54
29926643,1.19
29926607,27,962
29927823,12,571
29928016,3.84
29929062,15,901
29929287,2.89
29930027,1.49
29930033,1.89
29930201,9,633
29930709,1.02
29931620,0.33
29930504,0.82
29931381,
29931914,0.2
29934037,
29932604,
29932966,
29933606,
29933810,
29934839,
29935166,
29935136,
29935471,
29936382,
29936620,
29937356,
29937550,
29938553,
29937798,
29938814,
29941085,
29940309,
29939770,
29939010,
29943948,
29949789,
29948078,
29951710,
29952151,
29952085,
29952497,
29953696,
29953878,
29954629,
29954791,
29955980,
29955147,
29956098,
29956323,
29957243,
29958791,
29957656,
29957919,
29959248,0.01
29959549,
29960585,1.6
29960069,
29960430,0.03
29960436,1.13
29961646,
29962013,3.82
29963140,2.47
29963141,3.25
29962901,
29963499,5.45
29964778,4.05
29964306,
29965392,3.67
29965394,3.85
29965627,
29966063,1.55
29967274,3.98
29966902,
29967418,1.12
29968044,
29968568,1.72
29969820,4.58
29969152,
29970585,
29970974,3.5
29971824,
29972284,1.27
29971836,2.8
29971839,1.86
29971847,1.81
29971848,0.54
29973211,0.04
29973505,
29973994,
29973996,
29974152,
29974508,
29975347,
29975646,
29976376,
29976767,
29976945,
29977738,
29978083,
29978318,
29979090,
29979258,
29979453,
29980201,
29980632,
29983787,
29987660,
29991422,
29991425,
29989450,
29991672,
29993401,
29992090,
29993536,
29993829,
29994698,
29994991,
29995322,
29996093,
29996268,
29996480,
29997334,
29998596,
29997650,
29997841,
29998831,
29999072,0.23
29999894,
30000098,
30000344,0.1
30001032,
30001587,0.78
30001593,1.5
30001578,0.65
30003078,1.91
30002798,1.77
30002758,
30003932,3.44
30003775,
30004170,4.36
30005452,3.57
30004970,
30005282,5.09
30006139,
30007677,2.6
30006443,3.47
30007380,
30007980,4.52
30009083,5.36
30008673,
30008793,2.17
30009972,
30010250,2.98
30011764,0.44
30011773,0.23
30012213,0.8
30011826,
30013058,
30012929,
30013321,0.05
30014065,
30014264,
30014989,
30015221,
30015452,
30016153,
30016510,
30016623,
30016876,
30017596,
30019021,
30017834,
30019674,
30019410,
30020377,
30018614,
30006731,4.35
30024070,
30028982,
30029658,
30030084,
30030086,
30030455,
30031791,
30030758,
30031996,
30032256,
30033051,
30033271,
30033537,
30034377,
30034662,
30034873,
30035778,
30035679,
30035693,
30036847,
30037356,
30037536,0.04
30038438,
30038447,0.14
30038456,1.47
30038831,1.54
30039775,
30039705,2.89
30040051,3.02
30041003,2.71
30041261,1.26
30040816,
30042548,0.57
30041964,
30042203,3.2
30043434,3.63
30043228,
30043725,2.31
30044514,
30044853,3.31
30045680,
30046143,3.05
30045810,3.92
30045812,3.6
30049388,3.11
30047520,
30048386,4.97
30050178,3.48
30049796,
30050071,1.81
30051802,1.09
30051392,
30051629,0.64
30052621,
30052719,
30052989,0.01
30054225,
30054366,
30053844,
30055025,
30055129,
30056364,
30055722,
30056195,
30056496,
30057871,
30059759,
30059025,
30058841,
30057638,
30057974,
30060242,
30061844,
30067163,
30069148,
30070762,
30070763,
30071167,
30071405,
30072754,
30073260,
30074045,
30073019,
30074627,
30074426,
30075455,
30075650,
30076164,
30077222,
30077535,
30078476,
30078821,
30079739,
30079967,0.11
30080704,
30080707,
30080708,
30080714,0.01
30081026,
30081273,1.05
30081893,1.86
30082731,5.82
30082277,
30083626,3
30083472,
30083980,6.14
30083641,3.81
30084714,
30084945,2.61
30086189,2.65
30086191,3.87
30086411,1.69
30085969,
30087242,
30087710,2.79
30088264,3.6
30088448,
30088915,5.26
30089499,2.51
30090192,0.26
30089624,
30090126,2.58
30090986,0.01
30091056,
30091351,0.43
30092235,
30093160,
30092420,
30093497,
30093721,
30094594,
30094595,
30094807,
30095097,
30096234,
30095801,
30096307,
30097199,
30097405,
30098160,
30098391,
30098620,
30099377,
30100369,
30101797,
30100309,
30110195,
30109796,
30108153,
30112562,
30111173,
30110985,
30112056,
30112749,
30113565,
30114124,
30113885,
30114996,
30115455,
30115271,
30116244,
30117562,
30116700,
30116509,
30117767,
30117998,0.32
30118842,
30118846,0.69
30119320,1.48
30118912,
30120239,2.33
30120326,
30120570,4.24
30122345,4.05
30122272,2.63
30122777,
30123726,4.5
30123226,
30124583,1.66
30124591,1.9
30124763,
30125521,4.45
30126064,
30126479,4.13
30127419,
30127911,1.16
30129090,0.87
30129438,
30130042,
30130294,0.95
30131198,
30131823,0.51
30132180,2.56
30132181,2.74
30132182,2.58
30132183,0.92
30132184,0.51
30132753,
30132499,
30133537,
30133728,
30133915,
30135097,
30134905,
30136087,
30136092,
30136095,
30136726,
30136290,
30137692,
30138487,
30138216,
30138661,
30139605,
30138841,
30143402,
30140343,
30149551,
30147871,
30150798,
30150795,
30151079,
30151374,
30152917,
30152814,
30152972,
30153252,
30154497,
30154752,
30155579,
30155761,
30155980,
30157551,
30157282,
30158519,
30158520,
30158746,
30159908,
30159920,0.59
30159029,0.01
30160151,
30160876,1.17
30161535,1.91
30161290,
30162277,2.46
30162594,3.57
30162590,
30162969,3.65
30163992,3.23
30164323,4.22
30163736,
30164989,
30165436,4.78
30166305,
30166806,5.98
30168063,3.05
30168066,2.34
30167452,
30168487,2.38
30168721,
30169549,5.51
30169935,
30170316,2.96
30170206,2.26
30170211,1.36
30171556,1.42
30171197,
30171298,0.51
30172622,0.01
30172387,
30172828,0.05
30173624,
30173878,
30174644,
30174832,
30175122,
30175999,
30176466,
30177158,
30177159,
30177491,
30177385,
30177719,
30178779,
30179069,
30178687,
30180303,
30167870,6.26
30182421,
30186701,
30188012,
30190458,
30190459,
30190717,
30191132,
30192760,
30192933,
30194197,
30193231,
30194429,
30194736,
30195519,
30195802,
30195752,
30196091,
30197162,
30197893,
30198503,0.02
30199218,
30199738,0.55
30201061,2.53
30200755,0.27
30200760,1.05
30203054,2.11
30203059,2.29
30202142,4.04
30203454,3.89
30203956,
30203957,
30203958,
30203959,
30203964,
30203971,
30204393,0.033
30204882,3.82
30204775,2.23
30205690,1.87
30205716,10,106
30206042,5.28
30206853,18,684
30207162,4.4
30206907,3.09
30208018,18,686
30208480,3.39
30208145,2.56
30209579,0.28
30209777,1.59
30210172,8,604
30210525,0.13
30210561,
30210855,
30211789,
30211683,
30212079,
30212885,
30213210,
30212959,
30214084,
30214459,
30214174,
30215335,
30216296,
30215533,
30216728,
30216980,
30216640,
30217771,
30218054,
30218785,
30219304,
30222266,
30226842,
30228284,
30230057,
30230059,
30230342,
30232451,
30230383,
30230809,
30232485,
30232889,
30233997,
30234577,
30234381,
30235958,
30235722,
30236734,
30236909,
30237250,
30238072,
30238086,0.03
30238165,
30238443,0.48
30239387,
30239630,1.44
30239863,2.4
30240915,2.36
30240615,
30241083,4.49
30242006,
30242009,
30242660,5.8
30244876,2.64
30244884,1.85
30244885,1.2
30243754,
30244224,1.74
30245459,
30245714,1.19
30245998,3.54
30246571,
30247671,3.39
30246951,4.79
30248148,
30248515,2.69
30248654,4.63
30249786,3.24
30250202,
30250477,1.73
30250621,
30251727,0.44
30251738,
30250875,1.04
30252300,
30251882,
30253326,
30252986,
30253402,
30254809,
30254387,
30254845,
30255699,
30256035,
30255860,
30257058,
30258370,
30259121,
30257458,
30258057,
30259536,
30257819,
30242671,4.54
30262098,
30266418,
30268603,
30270133,
30270137,
30270623,
30270984,
30272195,
30273570,
30272754,
30272494,
30273998,
30274023,
30274277,
30275181,
30275665,
30276441,
30276669,
30276996,
30277796,
30278250,
30278488,0.03
30278020,
30291036,
30291401,0.96
30303799,
30304179,0.93
30304976,
30305614,1.96
30306409,0.5
30306413,1.82
30306414,3.29
30306415,3.5
30306781,3.34
30307136,
30307864,5.4
30308028,
30309088,6.19
30308650,
30309681,3.48
30309794,
30309724,3.56
30309726,2.88
30311432,1.88
30311374,1.96
30311773,
30312237,
30312500,0.65
30312583,0.42
30313438,
30313704,0.47
30313926,
30314862,
30314788,
30315184,
30315854,
30316181,
30315878,
30317069,
30318124,
30317356,
30318747,
30318283,
30318724,
30319550,
30319962,
30320643,
30320867,
30321200,
30322056,
30322060,
30322524,
30310344,6.08
30325331,
30332129,
30329851,
30333476,
30335291,
30333852,
30334088,
30335531,
30335808,
30336685,
30336899,
30337113,
30337922,
30338273,
30338466,
30339233,
30339753,
30340724,
30340737,
30339517,
30340820,
30341075,
30342059,0.74
30341994,
30344648,1.3
30343460,2.01
30342411,0.97
30344306,
30342997,
30344327,3.19
